n,p,b,c,b/c,pC,pD,pC > pD
12,0.2,12,2,6.0,0.825,0.799,1
12,0.2,14,2,7.0,0.769,0.798,0
12,0.2,16,2,8.0,0.831,0.749,1
12,0.2,18,2,9.0,0.815,0.708,1
12,0.2,15,3,5.0,0.804,0.863,0
12,0.2,18,3,6.0,0.797,0.814,0
12,0.2,21,3,7.0,0.787,0.757,1
12,0.2,24,3,8.0,0.845,0.78,1
12,0.2,27,3,9.0,0.841,0.725,1
12,0.4,5,1,5.0,0.8,0.769,1
12,0.4,6,1,6.0,0.796,0.815,0
12,0.4,7,1,7.0,0.833,0.726,1
12,0.4,8,1,8.0,0.797,0.763,1
12,0.4,9,1,9.0,0.775,0.733,1
12,0.4,10,2,5.0,0.833,0.846,0
12,0.4,12,2,6.0,0.776,0.714,1
12,0.4,14,2,7.0,0.828,0.785,1
12,0.4,16,2,8.0,0.862,0.845,1
12,0.4,18,2,9.0,0.859,0.732,1
12,0.4,15,3,5.0,0.776,0.802,0
12,0.4,18,3,6.0,0.784,0.808,0
12,0.4,21,3,7.0,0.809,0.786,1
12,0.4,24,3,8.0,0.902,0.736,1
12,0.4,27,3,9.0,0.887,0.75,1
12,0.6,5,1,5.0,0.83,0.839,0
12,0.6,6,1,6.0,0.838,0.762,1
12,0.6,7,1,7.0,0.845,0.805,1
12,0.6,8,1,8.0,0.845,0.793,1
12,0.6,9,1,9.0,0.825,0.795,1
12,0.6,10,2,5.0,0.779,0.78,0
12,0.6,12,2,6.0,0.852,0.781,1
12,0.6,14,2,7.0,0.863,0.801,1
12,0.6,16,2,8.0,0.839,0.757,1
12,0.6,18,2,9.0,0.831,0.768,1
12,0.6,15,3,5.0,0.78,0.829,0
12,0.6,18,3,6.0,0.79,0.745,1
12,0.6,21,3,7.0,0.791,0.771,1
12,0.6,24,3,8.0,0.841,0.735,1
12,0.6,27,3,9.0,0.899,0.707,1
12,0.8,5,1,5.0,0.817,0.829,0
12,0.8,6,1,6.0,0.791,0.818,0
12,0.8,7,1,7.0,0.762,0.798,0
12,0.8,8,1,8.0,0.778,0.796,0
12,0.8,9,1,9.0,0.788,0.777,1
12,0.8,10,2,5.0,0.813,0.828,0
12,0.8,12,2,6.0,0.826,0.776,1
12,0.8,14,2,7.0,0.858,0.785,1
12,0.8,16,2,8.0,0.851,0.763,1
12,0.8,18,2,9.0,0.847,0.75,1
12,0.8,15,3,5.0,0.786,0.829,0
12,0.8,18,3,6.0,0.82,0.831,0
12,0.8,21,3,7.0,0.785,0.798,0
12,0.8,24,3,8.0,0.795,0.698,1
12,0.8,27,3,9.0,0.865,0.731,1
14,0.2,5,1,5.0,0.677,0.641,1
