n,p,b,c,b/c,coop_outcomes_per_1000_runs
6,0.75,27,3,9.0,184
6,0.75,30,3,10.0,210
10,0.25,4,1,4.0,99
10,0.25,5,1,5.0,105
10,0.25,6,1,6.0,103
10,0.25,7,1,7.0,96
10,0.25,8,1,8.0,113
10,0.25,9,1,9.0,110
10,0.25,10,1,10.0,101
10,0.25,8,2,4.0,93
10,0.25,10,2,5.0,105
10,0.25,12,2,6.0,92
10,0.25,14,2,7.0,104
10,0.25,16,2,8.0,120
10,0.25,18,2,9.0,97
10,0.25,20,2,10.0,114
10,0.25,12,3,4.0,98
10,0.25,15,3,5.0,82
10,0.25,18,3,6.0,95
10,0.25,21,3,7.0,99
10,0.25,24,3,8.0,103
10,0.25,27,3,9.0,107
10,0.25,30,3,10.0,105
10,0.5,4,1,4.0,101
10,0.5,5,1,5.0,92
10,0.5,6,1,6.0,90
10,0.5,7,1,7.0,85
10,0.5,8,1,8.0,125
10,0.5,9,1,9.0,95
10,0.5,10,1,10.0,93
10,0.5,8,2,4.0,92
10,0.5,10,2,5.0,94
10,0.5,12,2,6.0,100
10,0.5,14,2,7.0,113
10,0.5,16,2,8.0,103
10,0.5,18,2,9.0,99
10,0.5,20,2,10.0,110
10,0.5,12,3,4.0,93
10,0.5,15,3,5.0,118
10,0.5,18,3,6.0,99
10,0.5,21,3,7.0,102
10,0.5,24,3,8.0,113
10,0.5,27,3,9.0,106
10,0.5,30,3,10.0,101
10,0.75,4,1,4.0,96
10,0.75,5,1,5.0,103
10,0.75,6,1,6.0,132
10,0.75,7,1,7.0,96
10,0.75,8,1,8.0,99
10,0.75,9,1,9.0,112
10,0.75,10,1,10.0,105
10,0.75,8,2,4.0,97
10,0.75,10,2,5.0,103
10,0.75,12,2,6.0,89
10,0.75,14,2,7.0,92
10,0.75,16,2,8.0,98
10,0.75,18,2,9.0,102
10,0.75,20,2,10.0,111
10,0.75,12,3,4.0,88
10,0.75,15,3,5.0,88
10,0.75,18,3,6.0,89
10,0.75,21,3,7.0,96
10,0.75,24,3,8.0,119
10,0.75,27,3,9.0,101
10,0.75,30,3,10.0,106
14,0.25,4,1,4.0,71
14,0.25,5,1,5.0,80
14,0.25,6,1,6.0,59
14,0.25,7,1,7.0,58
14,0.25,8,1,8.0,83
14,0.25,9,1,9.0,66
14,0.25,10,1,10.0,62
14,0.25,8,2,4.0,58
14,0.25,10,2,5.0,70
14,0.25,12,2,6.0,55
14,0.25,14,2,7.0,66
14,0.25,16,2,8.0,85
14,0.25,18,2,9.0,72
14,0.25,20,2,10.0,77
14,0.25,12,3,4.0,63
14,0.25,15,3,5.0,66
14,0.25,18,3,6.0,59
14,0.25,21,3,7.0,63
14,0.25,24,3,8.0,74
14,0.25,27,3,9.0,79
14,0.25,30,3,10.0,54
14,0.5,4,1,4.0,59
14,0.5,5,1,5.0,60
14,0.5,6,1,6.0,66
14,0.5,7,1,7.0,62
14,0.5,8,1,8.0,65
14,0.5,9,1,9.0,66
14,0.5,10,1,10.0,66
14,0.5,8,2,4.0,59
14,0.5,10,2,5.0,75
14,0.5,12,2,6.0,57
14,0.5,14,2,7.0,59
14,0.5,16,2,8.0,70
14,0.5,18,2,9.0,76
14,0.5,20,2,10.0,69
14,0.5,12,3,4.0,68
14,0.5,15,3,5.0,65
14,0.5,18,3,6.0,63
14,0.5,21,3,7.0,60
14,0.5,24,3,8.0,72
14,0.5,27,3,9.0,61
14,0.5,30,3,10.0,77
14,0.75,4,1,4.0,62
14,0.75,5,1,5.0,67
14,0.75,6,1,6.0,62
14,0.75,7,1,7.0,70
14,0.75,8,1,8.0,77
14,0.75,9,1,9.0,72
14,0.75,10,1,10.0,74
14,0.75,8,2,4.0,69
14,0.75,10,2,5.0,67
14,0.75,12,2,6.0,60
14,0.75,14,2,7.0,69
14,0.75,16,2,8.0,57
14,0.75,18,2,9.0,66
14,0.75,20,2,10.0,68
14,0.75,12,3,4.0,67
14,0.75,15,3,5.0,64
14,0.75,18,3,6.0,72
14,0.75,21,3,7.0,60
14,0.75,24,3,8.0,59
14,0.75,27,3,9.0,68
14,0.75,30,3,10.0,68
18,0.25,4,1,4.0,53
18,0.25,5,1,5.0,44
18,0.25,6,1,6.0,48
18,0.25,7,1,7.0,45
18,0.25,8,1,8.0,48
18,0.25,9,1,9.0,50
18,0.25,10,1,10.0,37
18,0.25,8,2,4.0,50
18,0.25,10,2,5.0,42
18,0.25,12,2,6.0,45
18,0.25,14,2,7.0,35
18,0.25,16,2,8.0,62
18,0.25,18,2,9.0,45
18,0.25,20,2,10.0,49
18,0.25,12,3,4.0,45
18,0.25,15,3,5.0,44
18,0.25,18,3,6.0,36
18,0.25,21,3,7.0,51
18,0.25,24,3,8.0,45
18,0.25,27,3,9.0,49
18,0.25,30,3,10.0,50
18,0.5,4,1,4.0,44
18,0.5,5,1,5.0,45
18,0.5,6,1,6.0,45
18,0.5,7,1,7.0,43
18,0.5,8,1,8.0,37
18,0.5,9,1,9.0,43
18,0.5,10,1,10.0,47
18,0.5,8,2,4.0,39
18,0.5,10,2,5.0,36
18,0.5,12,2,6.0,46
18,0.5,14,2,7.0,43
18,0.5,16,2,8.0,36
18,0.5,18,2,9.0,48
18,0.5,20,2,10.0,40
18,0.5,12,3,4.0,36
18,0.5,15,3,5.0,50
18,0.5,18,3,6.0,39
18,0.5,21,3,7.0,54
18,0.5,24,3,8.0,45
18,0.5,27,3,9.0,46
18,0.5,30,3,10.0,48
18,0.75,4,1,4.0,29
18,0.75,5,1,5.0,41
18,0.75,6,1,6.0,46
18,0.75,7,1,7.0,45
18,0.75,8,1,8.0,51
18,0.75,9,1,9.0,47
18,0.75,10,1,10.0,45
18,0.75,8,2,4.0,38
18,0.75,10,2,5.0,37
18,0.75,12,2,6.0,39
18,0.75,14,2,7.0,50
18,0.75,16,2,8.0,53
18,0.75,18,2,9.0,55
18,0.75,20,2,10.0,49
18,0.75,12,3,4.0,41
18,0.75,15,3,5.0,46
18,0.75,18,3,6.0,38
18,0.75,21,3,7.0,45
18,0.75,24,3,8.0,38
18,0.75,27,3,9.0,60
18,0.75,30,3,10.0,56
22,0.25,4,1,4.0,30
22,0.25,5,1,5.0,27
22,0.25,6,1,6.0,28
22,0.25,7,1,7.0,30
22,0.25,8,1,8.0,38
22,0.25,9,1,9.0,23
22,0.25,10,1,10.0,33
22,0.25,8,2,4.0,17
22,0.25,10,2,5.0,25
22,0.25,12,2,6.0,41
22,0.25,14,2,7.0,33
22,0.25,16,2,8.0,29
22,0.25,18,2,9.0,31
22,0.25,20,2,10.0,31
22,0.25,12,3,4.0,23
22,0.25,15,3,5.0,32
22,0.25,18,3,6.0,25
22,0.25,21,3,7.0,26
22,0.25,24,3,8.0,25
22,0.25,27,3,9.0,33
22,0.25,30,3,10.0,35
22,0.5,4,1,4.0,22
22,0.5,5,1,5.0,32
22,0.5,6,1,6.0,31
22,0.5,7,1,7.0,23
22,0.5,8,1,8.0,34
22,0.5,9,1,9.0,29
22,0.5,10,1,10.0,28
22,0.5,8,2,4.0,29
22,0.5,10,2,5.0,24
22,0.5,12,2,6.0,28
22,0.5,14,2,7.0,33
22,0.5,16,2,8.0,33
22,0.5,18,2,9.0,36
22,0.5,20,2,10.0,32
22,0.5,12,3,4.0,28
22,0.5,15,3,5.0,25
22,0.5,18,3,6.0,18
22,0.5,21,3,7.0,24
22,0.5,24,3,8.0,43
22,0.5,27,3,9.0,44
22,0.5,30,3,10.0,28
22,0.75,4,1,4.0,32
22,0.75,5,1,5.0,23
22,0.75,6,1,6.0,31
22,0.75,7,1,7.0,29
22,0.75,8,1,8.0,23
22,0.75,9,1,9.0,23
22,0.75,10,1,10.0,27
22,0.75,8,2,4.0,17
22,0.75,10,2,5.0,32
22,0.75,12,2,6.0,24
22,0.75,14,2,7.0,35
22,0.75,16,2,8.0,29
22,0.75,18,2,9.0,31
22,0.75,20,2,10.0,37
22,0.75,12,3,4.0,21
22,0.75,15,3,5.0,29
22,0.75,18,3,6.0,13
22,0.75,21,3,7.0,29
22,0.75,24,3,8.0,28
22,0.75,27,3,9.0,38
22,0.75,30,3,10.0,33
26,0.25,4,1,4.0,18
26,0.25,5,1,5.0,15
26,0.25,6,1,6.0,12
26,0.25,7,1,7.0,19
26,0.25,8,1,8.0,20
26,0.25,9,1,9.0,24
26,0.25,10,1,10.0,24
26,0.25,8,2,4.0,16
26,0.25,10,2,5.0,10
26,0.25,12,2,6.0,20
26,0.25,14,2,7.0,15
26,0.25,16,2,8.0,18
26,0.25,18,2,9.0,27
26,0.25,20,2,10.0,23
26,0.25,12,3,4.0,14
26,0.25,15,3,5.0,20
26,0.25,18,3,6.0,14
26,0.25,21,3,7.0,16
26,0.25,24,3,8.0,26
26,0.25,27,3,9.0,20
26,0.25,30,3,10.0,24
26,0.5,4,1,4.0,22
26,0.5,5,1,5.0,18
26,0.5,6,1,6.0,17
26,0.5,7,1,7.0,16
26,0.5,8,1,8.0,24
26,0.5,9,1,9.0,17
26,0.5,10,1,10.0,18
26,0.5,8,2,4.0,11
26,0.5,10,2,5.0,18
26,0.5,12,2,6.0,19
26,0.5,14,2,7.0,15
26,0.5,16,2,8.0,17
26,0.5,18,2,9.0,22
26,0.5,20,2,10.0,23
26,0.5,12,3,4.0,12
26,0.5,15,3,5.0,15
26,0.5,18,3,6.0,22
26,0.5,21,3,7.0,19
26,0.5,24,3,8.0,14
26,0.5,27,3,9.0,23
26,0.5,30,3,10.0,21
26,0.75,4,1,4.0,19
26,0.75,5,1,5.0,18
26,0.75,6,1,6.0,13
26,0.75,7,1,7.0,13
26,0.75,8,1,8.0,17
26,0.75,9,1,9.0,11
26,0.75,10,1,10.0,26
26,0.75,8,2,4.0,17
26,0.75,10,2,5.0,20
26,0.75,12,2,6.0,13
26,0.75,14,2,7.0,20
26,0.75,16,2,8.0,27
26,0.75,18,2,9.0,22
26,0.75,20,2,10.0,26
26,0.75,12,3,4.0,8
26,0.75,15,3,5.0,20
26,0.75,18,3,6.0,15
26,0.75,21,3,7.0,24
26,0.75,24,3,8.0,29
26,0.75,27,3,9.0,28
26,0.75,30,3,10.0,18
